participant,topic,system,normalized_gain,kgain,pre_acc,post_acc,article_id,article_key,article_version_label,group,student_id,order,category,n_questions
G3a_10,30184,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,30184,news_0,news_0a,G3a,10,18,Tech,6
G3a_10,30214,Baseline,0.0,0.0,0.6666666666666666,0.6666666666666666,30214,news_2,news_2b,G3a,10,19,Space,6
G3a_10,30708,Baseline,1.0,0.16666666666666666,0.8333333333333334,1.0,30708,news_2,news_2b,G3a,10,20,Tech,6
G3a_11,29733,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,29733,news_2,news_2b,G3a,11,1,Health,6
G3a_11,29734,Baseline,1.0,0.5,0.5,1.0,29734,news_2,news_2b,G3a,11,2,Space,6
G3a_11,29739,Ours,1.0,0.3333333333333333,0.6666666666666666,1.0,29739,news_0,news_0a,G3a,11,3,Health,6
G3a_11,29753,Baseline,1.0,0.8333333333333334,0.16666666666666666,1.0,29753,news_2,news_2b,G3a,11,4,Health,6
G3a_11,29775,Ours,1.0,0.5,0.5,1.0,29775,news_0,news_0a,G3a,11,5,Tech,6
G3a_11,29802,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,29802,news_0,news_0a,G3a,11,6,Humans,6
G3a_11,29846,Baseline,0.33333333333333326,0.16666666666666666,0.5,0.6666666666666666,29846,news_2,news_2b,G3a,11,7,Nature,6
G3a_11,29866,Ours,1.0,0.3333333333333333,0.6666666666666666,1.0,29866,news_0,news_0a,G3a,11,8,Nature,6
G3a_11,29873,Ours,1.0,0.5,0.5,1.0,29873,news_0,news_0a,G3a,11,9,Humans,6
G3a_11,29902,Ours,1.0,0.5,0.5,1.0,29902,news_0,news_0a,G3a,11,10,Nature,6
G3a_11,29929,Ours,1.0,0.5,0.5,1.0,29929,news_0,news_0a,G3a,11,11,Physics,6
G3a_11,29943,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,29943,news_2,news_2b,G3a,11,12,Tech,6
G3a_11,29958,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,29958,news_2,news_2b,G3a,11,13,Physics,6
G3a_11,29988,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,29988,news_2,news_2b,G3a,11,14,Humans,6
G3a_11,30052,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,30052,news_0,news_0a,G3a,11,15,Physics,6
G3a_11,30061,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,30061,news_2,news_2b,G3a,11,16,Physics,6
G3a_11,30086,Ours,1.0,0.3333333333333333,0.6666666666666666,1.0,30086,news_0,news_0a,G3a,11,17,Space,6
G3a_11,30184,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,30184,news_0,news_0a,G3a,11,18,Tech,6
G3a_11,30214,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,30214,news_2,news_2b,G3a,11,19,Space,6
G3a_11,30708,Baseline,1.0,0.16666666666666666,0.8333333333333334,1.0,30708,news_2,news_2b,G3a,11,20,Tech,6
G3a_12,29733,Baseline,0.5000000000000001,0.16666666666666666,0.6666666666666666,0.8333333333333334,29733,news_2,news_2b,G3a,12,1,Health,6
G3a_12,29734,Baseline,0.0,0.0,0.5,0.5,29734,news_2,news_2b,G3a,12,2,Space,6
G3a_12,29739,Ours,1.0,0.5,0.5,1.0,29739,news_0,news_0a,G3a,12,3,Health,6
G3a_12,29753,Baseline,0.0,0.0,0.6666666666666666,0.6666666666666666,29753,news_2,news_2b,G3a,12,4,Health,6
G3a_12,29802,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,29802,news_0,news_0a,G3a,12,6,Humans,6
